Tom 1;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=3;;
Tom 1;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=5;; ※ Przedmowa;
Tom 1;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=13;; ※ Objaśnienie skróceń;
Tom 1;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=15;; ※ Dzieła i czasopisma cytowane;
Tom 1;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=19;; ※ Hasła: A - Der;
A;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=19;Tom 1 s. 19;
A;http://ebuw.uw.edu.pl/Content/286246/directory.djvu?djvuopts&page=943;s. 943; ※ Poprawki;
A;http://ebuw.uw.edu.pl/Content/286260/directory.djvu?djvuopts&page=5;Tom 15 cz. 1 s. 5; ※ Uzupełnienia
B;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=65;Tom 1 s. 65;
B;http://ebuw.uw.edu.pl/Content/286246/directory.djvu?djvuopts&page=943;Tom 2 s. 943; ※ Poprawki
B;http://ebuw.uw.edu.pl/Content/286260/directory.djvu?djvuopts&page=57;Tom 15 cz. 1 s. 57; ※ Uzupełnienia
Bańska;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=100;Tom 1 s. 100;
Białystok;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=199;Tom 1 s. 199;
�;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=200;Tom 1 s. 200;
Bolesławowo;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=299;Tom 1 s. 299;
cd;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=300;Tom 1 s. 300;
Brześć Litewski;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=399;Tom 1 s. 399;
�;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=400;Tom 1 s. 400;
Bydgoszcz;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=490;Tom 1 s. 490;
Bydgoszcz;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=491;Tom 1 s. 491;
�;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=500;Tom 1 s. 500;
C;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=525;Tom 1 s. 525;
C;http://ebuw.uw.edu.pl/Content/286246/directory.djvu?djvuopts&page=943;Tom 2 s. 943; ※ Poprawki
C;http://ebuw.uw.edu.pl/Content/286260/directory.djvu?djvuopts&page=291;Tom 15 cz. 1 s. 291; ※ Uzupełnienia
Chocimierz;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=600;s. 600;
Cieszyn;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=696;Tom 1 s. 696;
�;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=700;Tom 1 s. 700;
Czeremoszne;http://ebuw.uw.edu.pl/Content/286245/directory.djvu?djvuopts&page=800;Tom 1 s. 800;
